signal_time,entry_time,exit_time,direction,entry,stop,target,risk_price,risk_money,units,result,R,gross_pnl,net_pnl,reason,balance_after,equity
2025-07-10 05:35:00+00:00,2025-07-10 05:40:00+00:00,2025-07-10 06:15:00+00:00,SHORT,3321.28,3323.21,3317.4200000000005,1.9299999999998363,114.25397001566041,59.19894819464772,WIN,2.0,228.50794003132083,228.50794003132083,Above PDH -> green -> red reversal -> break red low,11653.904941597362,11653.904941597362
2025-07-10 06:45:00+00:00,2025-07-10 06:50:00+00:00,2025-07-10 07:45:00+00:00,SHORT,3317.53,3320.13,3312.3300000000004,2.599999999999909,116.53904941597362,44.82271131383758,LOSS,-1.0,-116.53904941597362,-116.53904941597362,Above PDH -> green -> red reversal -> break red low,11537.36589218139,11537.36589218139
2025-07-10 08:15:00+00:00,2025-07-10 08:20:00+00:00,2025-07-10 08:25:00+00:00,SHORT,3323.76,3324.24,3322.800000000001,0.47999999999956344,115.3736589218139,240.36178942066422,WIN,2.0,230.7473178436278,230.7473178436278,Above PDH -> green -> red reversal -> break red low,11768.113210025018,11768.113210025018
2025-07-10 08:35:00+00:00,2025-07-10 10:45:00+00:00,2025-07-10 11:35:00+00:00,SHORT,3320.66,3323.84,3314.2999999999993,3.180000000000291,117.68113210025018,37.0066453145407,LOSS,-1.0,-117.68113210025018,-117.68113210025018,Above PDH -> green -> red reversal -> break red low,11650.432077924768,11650.432077924768
2025-07-10 11:00:00+00:00,2025-07-10 14:55:00+00:00,2025-07-10 15:20:00+00:00,SHORT,3319.89,3321.28,3317.109999999999,1.3900000000003274,116.50432077924768,83.81605811454693,LOSS,-1.0,-116.50432077924768,-116.50432077924768,Above PDH -> green -> red reversal -> break red low,11533.92775714552,11533.92775714552
2025-07-10 15:40:00+00:00,2025-07-10 16:40:00+00:00,2025-07-10 16:45:00+00:00,SHORT,3321.37,3323.42,3317.2699999999995,2.050000000000182,115.33927757145521,56.26306222997316,WIN,2.0,230.67855514291043,230.67855514291043,Above PDH -> green -> red reversal -> break red low,11764.606312288432,11764.606312288432
2025-07-10 17:20:00+00:00,2025-07-10 17:25:00+00:00,2025-07-10 21:55:00+00:00,SHORT,3316.51,3321.53,3306.4700000000003,5.019999999999982,117.64606312288431,23.435470741610505,LOSS,-1.0,-117.64606312288431,-117.64606312288431,Above PDH -> green -> red reversal -> break red low,11646.960249165548,11646.960249165548
2025-07-10 21:30:00+00:00,2025-07-17 15:30:00+00:00,2025-07-17 15:35:00+00:00,SHORT,3316.55,3317.58,3314.4900000000007,1.0299999999997453,116.46960249165548,113.07728397250901,LOSS,-1.0,-116.46960249165548,-116.46960249165548,Above PDH -> green -> red reversal -> break red low,11530.490646673892,11530.490646673892
2025-07-17 15:45:00+00:00,2025-07-17 16:05:00+00:00,2025-07-17 16:10:00+00:00,LONG,3315.45,3312.92,3320.5099999999993,2.5299999999997453,115.30490646673893,45.575061844565425,LOSS,-1.0,-115.30490646673893,-115.30490646673893,Below PDL -> green reversal -> break green high,11415.185740207153,11415.185740207153
2025-07-17 16:15:00+00:00,2025-07-17 16:20:00+00:00,2025-07-17 17:30:00+00:00,LONG,3318.94,3312.74,3331.3400000000006,6.200000000000273,114.15185740207153,18.411589903559115,WIN,2.0,228.30371480414306,228.30371480414306,Below PDL -> green reversal -> break green high,11643.489455011295,11643.489455011295
